Edition,Report Type,Measure Name,State Name,Rank,Value,Score,LowerCI,UpperCI,Source,Source Year
"2022","2022 Annual","Voter Participation (Midterm)","Tennessee",49,37.7,,35.2,40.2,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement","2010"
"2022","2022 Annual","Voter Participation (Presidential)","Tennessee",25,66.4,,63.2,69.6,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement","2020"
"2022","2022 Annual","Physical Environment","Tennessee",13,0.206,,"","","America's Health Rankings composite measure","2022"
"2022","2022 Annual","Air and Water Quality - Annual","Tennessee",17,0.22,,"","","America's Health Rankings composite measure","2022"
"2022","2022 Annual","Air Pollution","Tennessee",25,7.6,,"","","U.S. Environmental Protection Agency","2019-2021"
"2022","2022 Annual","Drinking Water Violations","Tennessee",34,0.5,,"","","U.S. Environmental Protection Agency, Enforcement and Compliance History Online, Safe Drinking Water Information System","2021"
"2022","2022 Annual","Non-smoking Regulation","Tennessee",43,0,,"","","American Nonsmokers' Rights Foundation","2022"
"2022","2022 Annual","Risk-screening Environmental Indicator Score","Tennessee",30,3811598,,"","","U.S. Environmental Protection Agency, Toxic Release Inventory National Analysis","2020"
"2022","2022 Annual","Water Fluoridation","Tennessee",16,88.8,,"","","CDC, Water Fluoridation Reporting System","2018"
"2022","2022 Annual","Climate Change Policies","Tennessee",37,0,,"","","Center for Climate and Energy Solutions","2021"
"2022","2022 Annual","Transportation Energy Use","Tennessee",34,8.9,,"","","U.S. Energy Information Administration, State Energy Data System","2020"
"2022","2022 Annual","Housing and Transit - Annual","Tennessee",17,0.187,,"","","America's Health Rankings composite measure","2022"
"2022","2022 Annual","Drive Alone to Work","Tennessee",38,75.8,,75.2,76.4,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Drive Alone to Work - Men","Tennessee",41,77.6,,76.9,78.3,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Drive Alone to Work - Women","Tennessee",38,73.8,,73,74.6,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Housing With Lead Risk","Tennessee",16,11.9,,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Severe Housing Problems","Tennessee",15,13.4,,13.2,13.7,"U.S. Department of Housing and Urban Development, Comprehensive Housing Affordability Strategy","2015-2019"
"2022","2022 Annual","Severe Housing Problems - American Indian/Alaska Native","Tennessee",6,17.2,,11.3,23.1,"U.S. Department of Housing and Urban Development, Comprehensive Housing Affordability Strategy","2015-2019"
"2022","2022 Annual","Severe Housing Problems - Asian/Pacific Islander","Tennessee",10,16.7,,14.4,18.9,"U.S. Department of Housing and Urban Development, Comprehensive Housing Affordability Strategy","2015-2019"
"2022","2022 Annual","Severe Housing Problems - Black","Tennessee",12,21.6,,20.7,22.5,"U.S. Department of Housing and Urban Development, Comprehensive Housing Affordability Strategy","2015-2019"
"2022","2022 Annual","Severe Housing Problems - Hispanic","Tennessee",32,24.6,,22.6,26.5,"U.S. Department of Housing and Urban Development, Comprehensive Housing Affordability Strategy","2015-2019"
"2022","2022 Annual","Severe Housing Problems - White","Tennessee",13,11,,10.8,11.3,"U.S. Department of Housing and Urban Development, Comprehensive Housing Affordability Strategy","2015-2019"
"2022","2022 Annual","Clinical Care","Tennessee",40,-0.558,,"","","America's Health Rankings composite measure","2022"
"2022","2022 Annual","Access to Care - Annual","Tennessee",40,-0.674,,"","","America's Health Rankings composite measure","2022"
"2022","2022 Annual","Avoided Care Due to Cost","Tennessee",41,11.5,,10.3,12.7,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Female","Tennessee","",12,,10.4,13.7,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Male","Tennessee","",10.9,,9.1,12.6,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Ages 18-44","Tennessee","",15.3,,13,17.5,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Ages 45-64","Tennessee","",12,,10.1,13.9,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Ages 65+","Tennessee","",3.3,,2.1,4.6,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - American Indian/Alaska Native","Tennessee","",33.4,,17.4,49.4,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Asian","Tennessee","","",,"","","CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Black","Tennessee","",13.6,,9.3,17.8,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Hawaiian/Pacific Islander","Tennessee","","",,"","","CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Hispanic","Tennessee","",20.7,,11.8,29.5,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Multiracial","Tennessee","",18.8,,10.7,26.9,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Other Race","Tennessee","","",,"","","CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - White","Tennessee","",10.3,,9,11.5,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Less Than High School","Tennessee","",18.7,,13.7,23.6,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - High School/GED","Tennessee","",10.5,,8.3,12.7,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Some Post-High School","Tennessee","",11.1,,8.9,13.4,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - College Grad","Tennessee","",7.4,,5.8,8.9,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - $25-$49,999","Tennessee","",15.4,,12.6,18.2,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - $50-$74,999","Tennessee","",7.8,,4.6,10.9,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - $75,000 or More","Tennessee","",4.2,,2.7,5.8,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Less Than $25,000","Tennessee","",21.1,,17.2,25.1,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Metro","Tennessee","",10.9,,9.5,12.4,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Avoided Care Due to Cost - Non-Metro","Tennessee","",13.1,,10.7,15.4,"CDC, Behavioral Risk Factor Surveillance System","2021"
"2022","2022 Annual","Providers - Annual","Tennessee",39,-0.487,,"","","America's Health Rankings composite measure","2022"
"2022","2022 Annual","Dental Care Providers","Tennessee",45,46.3,,"","","U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System","September 2022"
"2022","2022 Annual","Mental Health Providers","Tennessee",45,186.9,,"","","U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System","September 2022"
"2022","2022 Annual","Primary Care Providers","Tennessee",17,294.1,,"","","U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System","September 2022"
"2022","2022 Annual","Uninsured","Tennessee",38,10,,9.8,10.2,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - Ages 19-25","Tennessee",36,16.3,,15.1,17.5,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - Ages 26-34","Tennessee",38,18,,16.8,19.2,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - Ages 35-44","Tennessee",41,15.7,,14.7,16.7,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - Ages 45-54","Tennessee",38,12.8,,11.8,13.8,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - Ages 55-64","Tennessee",45,11.3,,10.5,12.1,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - American Indian/Alaska Native","Tennessee","",20.7,,12.7,28.7,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - Asian","Tennessee",36,9,,6.6,11.4,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - Black","Tennessee",36,11.4,,10.6,12.2,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - Hispanic","Tennessee",50,30.4,,27.8,33,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - Multiracial","Tennessee",42,16.1,,14.4,17.8,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - Native Hawaiian/Other Pacific Islander","Tennessee","",5.5,,-0.3,11.3,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - Other Race","Tennessee",47,34.9,,31.8,38,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - White","Tennessee",41,8,,7.6,8.4,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - Less Than High School","Tennessee",37,23.7,,22.3,25.1,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - High School Grad","Tennessee",42,14.6,,13.9,15.3,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Uninsured - Some College","Tennessee",38,9.4,,8.8,10,"U.S. Census Bureau, American Community Survey","2021"
